"","Film","Sex","Total","WordPercent_Elf","WordPercent_Hobbit","WordPercent_Man","Number_Elf","Number_Hobbit","Number_Man"
"1","The Fellowship Of The Ring","Male",177277,0.547730388036801,2.05554019980031,1.12535749138354,971,3644,1995
"2","The Fellowship Of The Ring","Female",177277,0.69326534180971,0.00789724555356871,0,1229,14,0
