"","Film","Sex","Total","WordPercent_Elf","WordPercent_Hobbit","WordPercent_Man","Number_Elf","Number_Hobbit","Number_Man"
"1","The Two Towers","Female",143436,0.230764940461251,0,0.279567193731002,331,0,401
"2","The Return Of The King","Male",134462,0.379289315940563,1.98792223825319,1.82876946646636,510,2673,2459
