"","Film","Sex","Total","WordPercent_Elf","WordPercent_Hobbit","WordPercent_Man","Number_Elf","Number_Hobbit","Number_Man"
"1","The Two Towers","Male",143436,0.357650798962604,1.71714214004852,2.5021612426448,513,2463,3589
"2","The Two Towers","Female",143436,0.230764940461251,0,0.279567193731002,331,0,401
